IA,Ka_VV_Mean,Ka_HH_Mean,Ka_HV_Mean,Ka_VV_SD,Ka_HH_SD,Ka_HV_SD,,Ku_VV_Mean,Ku_HH_Mean,Ku_HV_Mean,Ku_VV_SD,Ku_HH_SD,Ku_HV_SD,,Ka_Co-pol-ratio_Mean,Ka_Cross-pol-ratio_Mean,Ka_phasediff_Mean,Ka_copolcoeff_Mean,Ka_Co-pol-ratio_SD,Ka_Cross-pol-ratio_SD,Ka_phasediff_SD,Ka_copolcoeff_SD,,Ku_Co-pol-ratio_Mean,Ku_Cross-pol-ratio_Mean,Ku_phasediff_Mean,Ku_copolcoeff_Mean,Ku_Co-pol-ratio_SD,Ku_Cross-pol-ratio_SD,Ku_phasediff_SD,Ku_copolcoeff_SD,,Ka-Ku_VV_Mean,Ka-Ku_HH_Mean,Ka-Ku_HV_Mean,Ka-Ku_VV_SD,Ka-Ku_HH_SD,Ka-Ku_HV_SD
0,0.630757518,0.699494385,-15.52985481,1.801950032,1.798883929,4.601405951,,-0.647555496,-0.296146175,-26.22649515,2.571808082,2.426215778,3.090344018,,-0.068736867,-16.22934919,2.195234615,0.918697015,0.090722727,4.275950672,3.539633182,0.048479292,,-0.351409321,-25.93034897,-0.018807948,0.984254811,0.202887302,2.269622721,1.39802728,0.004424115,,1.30881083,1.023586619,10.77459878,1.678513985,1.618171213,2.401781842
5,-0.689295449,-0.544940864,-15.69591146,1.737109862,1.717016987,5.021194377,,-2.067022265,-1.715707686,-26.18667994,2.559586668,2.402453733,2.965362696,,-0.144354585,-15.1509706,4.19469823,0.900574272,0.104381523,4.369767408,4.066534292,0.060368436,,-0.351314579,-24.47097225,-1.122307099,0.981464142,0.204336042,1.97462968,1.479890136,0.004224312,,1.404304614,1.194698459,10.56522123,1.762347716,1.697924633,2.750827289
10,-2.751171443,-2.530611766,-15.88052842,2.081132053,2.178444219,5.401557792,,-5.581873483,-5.217152967,-26.42789666,2.401722109,2.286250636,2.731148034,,-0.220559677,-13.34991666,2.554504385,0.869194514,0.17130577,3.781026028,4.082028979,0.07250445,,-0.364720516,-21.21074369,-2.152393195,0.971364592,0.185957087,1.230209277,1.932126239,0.00479233,,2.845280883,2.698440771,10.59131537,1.640141509,1.610625703,3.158121805
15,-4.52266546,-4.295999105,-16.07002886,2.966786063,3.090100034,5.798120468,,-9.288127629,-8.972503574,-26.55783365,2.739846414,2.744676128,2.825910714,,-0.226666355,-11.77402975,5.050209647,0.839622451,0.194057648,3.014926825,4.969539767,0.075647896,,-0.315624056,-17.58533008,-3.297120446,0.951249078,0.178056044,1.076125707,2.391577089,0.010686369,,4.778548579,4.687363902,10.51864448,1.679258113,1.732999205,3.339706769
20,-5.686425589,-5.475058302,-16.19807561,3.661087222,3.819268117,6.194295742,,-11.31384244,-11.00003729,-26.64612249,2.714515564,2.733962981,3.099136545,,-0.211274907,-10.71833067,-0.3980194,0.804653326,0.219005091,2.60484533,6.507217848,0.083424582,,-0.31380515,-15.64608521,-0.906990613,0.933638189,0.16785001,1.015820077,2.852352021,0.016735442,,5.643741729,5.539200203,10.48160354,1.787004668,1.856248995,3.462571785
25,-6.367311765,-6.12211678,-16.27881394,4.070594512,4.186159707,6.428840895,,-12.5847464,-12.26562193,-26.91686169,2.775921989,2.837911178,3.541706277,,-0.245087819,-10.15225804,4.612188082,0.778799167,0.194983328,2.445366904,9.088399183,0.092243877,,-0.318985901,-14.64487795,-2.222830334,0.917525468,0.24133855,1.054739527,4.781696783,0.022866937,,6.232422265,6.157336085,10.65936483,2.016559555,1.93762688,3.414454475
30,-6.748892432,-6.553147523,-16.40366003,4.253962305,4.440507695,6.658815178,,-13.63566401,-13.37848412,-27.28161742,2.989462498,3.105426369,3.877310708,,-0.195573803,-9.841901924,-0.135821676,0.760398532,0.226444563,2.406239692,14.14152374,0.109343907,,-0.257068224,-13.89709634,0.443754396,0.895460136,0.278815716,1.1271537,7.095969619,0.03370079,,6.908643864,6.847259389,10.90774111,2.04782042,1.966452143,3.349155065
35,-6.979525244,-6.759359162,-16.31222584,4.223020045,4.463888738,6.511041046,,-14.57471147,-14.31922725,-27.50559661,3.13596932,3.246092014,3.918281527,,-0.219973629,-9.544516274,7.913599536,0.737117781,0.28376417,2.221753159,23.01640907,0.121755329,,-0.255373291,-13.18064363,-2.870898907,0.871793557,0.296586068,1.13199513,9.319303186,0.040839829,,7.619336103,7.58295637,11.22295333,1.816811503,1.810850348,3.072963356
40,-6.825145919,-6.6385018,-15.62769988,3.858092818,4.123405259,5.711591153,,-15.33863465,-15.01606099,-27.48643184,3.171851142,3.3915684,3.592885217,,-0.186399392,-8.977411541,1.073174733,0.70932954,0.314586005,1.744524311,32.26754274,0.110637374,,-0.322433591,-12.46495601,-0.060627869,0.839255787,0.457787685,0.698851478,12.30705025,0.039803377,,8.541524098,8.405430457,11.89504754,1.283722216,1.317377871,2.483271107
45,-6.355406501,-6.311574277,-14.63294775,3.202006354,3.407759673,4.479313653,,-15.75610956,-15.43955317,-27.35039891,2.94939746,3.241943467,3.135326875,,-0.043774751,-8.310462582,7.418902522,0.677473254,0.319379671,1.274896711,34.84642545,0.096207858,,-0.316418932,-11.90567386,-3.713062592,0.81452238,0.529105041,0.562447259,13.54100162,0.032337422,,9.427368333,9.153332988,12.74896363,0.966657773,0.962044053,1.759162684
50,-5.834309505,-5.99490791,-13.98826387,2.446047715,2.668904851,3.403238191,,-16.06484961,-15.79667124,-27.44163814,2.524315133,2.762948413,2.849533167,,0.16038783,-7.98287516,-8.142964288,0.643692215,0.37937787,0.958739207,25.96740134,0.111501313,,-0.268061919,-11.63991046,-0.784541875,0.797747785,0.49489389,0.48634732,13.17510115,0.035204228,,10.25556127,9.825146558,13.48261939,0.915656362,0.80637705,1.260765653
